instance,k,judicious,naive,lowerbound
59s,2,463,467,335
59s,4,278,440,167
59s,8,170,383,83
59s,12,135,383,57
59s,16,114,377,57
59s,24,82,300,57
59s,32,64,243,57
59s,48,57,212,57
59s,64,57,163,57
59s,96,57,111,57
59s,128,57,110,57
59s,160,57,57,57
59s,200,57,57,57
59s,256,57,57,57
59s,384,57,57,57
59s,512,57,57,57
59s,768,57,57,57
59s,1024,57,57,57
59s,1536,57,57,57
59s,2048,57,57,57
59s,3072,57,57,57
59s,4096,57,57,57
59s,8192,57,57,57
404s,2,1629,1913,1262
404s,4,1148,1448,631
404s,8,957,1290,402
404s,12,833,1185,402
404s,16,773,1155,402
404s,24,660,1033,402
404s,32,593,1040,402
404s,48,515,1003,402
404s,64,461,992,402
404s,96,421,909,402
404s,128,402,840,402
404s,160,402,840,402
404s,200,402,694,402
404s,256,402,694,402
404s,384,402,548,402
404s,512,402,548,402
404s,768,402,402,402
404s,1024,402,402,402
404s,1536,402,402,402
404s,2048,402,402,402
404s,3072,402,402,402
404s,4096,402,402,402
404s,8192,402,402,402
128s,2,667,883,585
128s,4,495,614,292
128s,8,347,498,146
128s,12,284,466,126
128s,16,257,437,126
128s,24,221,411,126
128s,32,196,406,126
128s,48,159,381,126
128s,64,141,321,126
128s,96,126,278,126
128s,128,126,209,126
128s,160,126,210,126
128s,200,126,202,126
128s,256,126,126,126
128s,384,126,126,126
128s,512,126,126,126
128s,768,126,126,126
128s,1024,126,126,126
128s,1536,126,126,126
128s,2048,126,126,126
128s,3072,126,126,126
128s,4096,126,126,126
128s,8192,126,126,126
59l,2,5605,6764,5102
59l,4,4135,3745,2551
59l,8,2265,2622,1275
59l,12,1483,1929,850
59l,16,1122,1498,637
59l,24,911,1185,425
59l,32,705,1019,318
59l,48,512,761,212
59l,64,411,720,159
59l,96,315,530,106
59l,128,262,453,79
59l,160,229,443,63
59l,200,200,381,57
59l,256,173,332,57
59l,384,131,274,57
59l,512,103,255,57
59l,768,70,169,57
59l,1024,58,169,57
59l,1536,58,113,57
59l,2048,58,113,57
59l,3072,58,57,57
59l,4096,58,57,57
59l,8192,58,57,57
404l,2,22872,26585,20324
404l,4,16269,16859,10162
404l,8,8050,9720,5081
404l,12,6188,7054,3387
404l,16,5413,5791,2540
404l,24,4003,4592,1693
404l,32,3187,3770,1270
404l,48,2353,3121,846
404l,64,1851,2858,635
404l,96,1420,2310,423
404l,128,1202,2111,402
404l,160,1086,1901,402
404l,200,974,1830,402
404l,256,877,1504,402
404l,384,746,1486,402
404l,512,662,1242,402
404l,768,551,952,402
404l,1024,475,950,402
404l,1536,402,677,402
404l,2048,402,677,402
404l,3072,402,402,402
404l,4096,402,402,402
404l,8192,402,402,402
128l,2,14375,13177,11809
128l,4,8465,7848,5904
128l,8,5140,4795,2952
128l,12,3965,3601,1968
128l,16,3071,2987,1476
128l,24,2303,2504,984
128l,32,1890,2242,738
128l,48,1418,1875,492
128l,64,1179,1696,369
128l,96,904,1474,246
128l,128,743,1099,184
128l,160,646,1000,147
128l,200,573,992,126
128l,256,500,823,126
128l,384,411,664,126
128l,512,358,605,126
128l,768,300,446,126
128l,1024,260,369,126
128l,1536,205,252,126
128l,2048,165,252,126
128l,3072,127,126,126
128l,4096,127,126,126
128l,8192,127,126,126
sm_part24_11756,2,79136,67491,49856
sm_part24_11756,4,48031,43606,24928
sm_part24_11756,8,23919,28112,12464
sm_part24_11756,12,19309,21627,8309
sm_part24_11756,16,16135,17841,6232
sm_part24_11756,24,13215,13637,4154
sm_part24_11756,32,10820,11278,3116
sm_part24_11756,48,8540,8568,2077
sm_part24_11756,64,7251,7069,1558
sm_part24_11756,96,5746,5383,1038
sm_part24_11756,128,4783,4353,779
sm_part24_11756,160,4108,3750,623
sm_part24_11756,200,3476,3233,498
sm_part24_11756,256,2921,2727,389
sm_part24_11756,384,2200,2069,259
sm_part24_11756,512,1818,1662,194
sm_part24_11756,768,1400,1284,142
sm_part24_11756,1024,1172,1019,142
sm_part24_11756,1536,923,758,142
sm_part24_11756,2048,780,599,142
sm_part24_11756,3072,605,433,142
sm_part24_11756,4096,491,336,142
sm_part24_11756,8192,263,239,142
sm_part12_20753,2,103031,107381,81757
sm_part12_20753,4,59173,68598,40878
sm_part12_20753,8,35610,43211,20439
sm_part12_20753,12,27108,32765,13626
sm_part12_20753,16,21938,26971,10219
sm_part12_20753,24,17572,20497,6813
sm_part12_20753,32,14195,16926,5109
sm_part12_20753,48,11404,12765,3406
sm_part12_20753,64,9344,10439,2554
sm_part12_20753,96,7280,7752,1703
sm_part12_20753,128,6047,6346,1277
sm_part12_20753,160,5258,5530,1021
sm_part12_20753,200,4568,4666,817
sm_part12_20753,256,3883,4005,638
sm_part12_20753,384,2987,2994,425
sm_part12_20753,512,2494,2541,319
sm_part12_20753,768,1898,1889,212
sm_part12_20753,1024,1560,1543,159
sm_part12_20753,1536,1173,1194,142
sm_part12_20753,2048,950,968,142
sm_part12_20753,3072,709,712,142
sm_part12_20753,4096,573,621,142
sm_part12_20753,8192,338,350,142
sm_part3_31854,2,138232,123077,92831
sm_part3_31854,4,64352,80284,46415
sm_part3_31854,8,36514,50673,23207
sm_part3_31854,12,29217,38568,15471
sm_part3_31854,16,25702,31741,11603
sm_part3_31854,24,18947,24180,7735
sm_part3_31854,32,15835,19572,5801
sm_part3_31854,48,12537,15003,3867
sm_part3_31854,64,10592,12108,2900
sm_part3_31854,96,8126,9241,1933
sm_part3_31854,128,6630,7745,1450
sm_part3_31854,160,5709,6697,1160
sm_part3_31854,200,4891,5784,928
sm_part3_31854,256,4158,4739,725
sm_part3_31854,384,3186,3693,483
sm_part3_31854,512,2651,3050,362
sm_part3_31854,768,2044,2273,241
sm_part3_31854,1024,1688,1876,181
sm_part3_31854,1536,1280,1508,142
sm_part3_31854,2048,1042,1236,142
sm_part3_31854,3072,763,968,142
sm_part3_31854,4096,607,795,142
sm_part3_31854,8192,356,460,142
sm_part1_170859,2,138847,140501,98418
sm_part1_170859,4,61924,104898,49209
sm_part1_170859,8,42375,69451,24604
sm_part1_170859,12,31954,54092,16403
sm_part1_170859,16,26938,45521,12302
sm_part1_170859,24,21329,35322,8201
sm_part1_170859,32,17774,29158,6151
sm_part1_170859,48,14120,22815,4100
sm_part1_170859,64,11837,19302,3075
sm_part1_170859,96,8957,15488,2050
sm_part1_170859,128,7594,13491,1537
sm_part1_170859,160,6574,11900,1230
sm_part1_170859,200,5754,10259,984
sm_part1_170859,256,4912,8734,768
sm_part1_170859,384,3866,6868,512
sm_part1_170859,512,3249,5523,384
sm_part1_170859,768,2515,4453,256
sm_part1_170859,1024,2104,3754,192
sm_part1_170859,1536,1595,2880,142
sm_part1_170859,2048,1293,2609,142
sm_part1_170859,3072,939,2071,142
sm_part1_170859,4096,738,1809,142
sm_part1_170859,8192,419,1233,142
