instance,k,judicious,naive
59s,2,33,240
59s,4,130,673
59s,8,207,1520
59s,12,333,2291
59s,16,480,3051
59s,24,796,4148
59s,32,1160,5045
59s,48,1210,6083
59s,64,1210,6740
59s,96,1210,7606
59s,128,1210,7896
59s,160,1210,8449
59s,200,1210,8449
59s,256,1210,8449
59s,384,1210,8449
59s,512,1210,8449
59s,768,1210,8449
59s,1024,1210,8449
59s,1536,1210,8449
59s,2048,1210,8449
59s,3072,1210,8449
59s,4096,1210,8449
59s,8192,1210,8449
404s,2,669,996
404s,4,1662,2759
404s,8,3154,6148
404s,12,4657,9523
404s,16,6098,12870
404s,24,9073,19460
404s,32,12037,26165
404s,48,18017,38632
404s,64,24019,50203
404s,96,35842,68922
404s,128,41293,83492
404s,160,41293,96015
404s,200,41293,112802
404s,256,41293,132635
404s,384,41293,172563
404s,512,41293,210721
404s,768,41293,233851
404s,1024,41293,233851
404s,1536,41293,233851
404s,2048,41293,233851
404s,3072,41293,233851
404s,4096,41293,233851
404s,8192,41293,233851
128s,2,100,397
128s,4,411,1075
128s,8,828,2484
128s,12,1290,3851
128s,16,1712,5153
128s,24,2580,7052
128s,32,3433,8566
128s,48,5224,11215
128s,64,6925,13299
128s,96,8910,16641
128s,128,8910,18972
128s,160,8910,21083
128s,200,8910,24201
128s,256,8910,24534
128s,384,8910,24534
128s,512,8910,24534
128s,768,8910,24534
128s,1024,8910,24534
128s,1536,8910,24534
128s,2048,8910,24534
128s,3072,8910,24534
128s,4096,8910,24534
128s,8192,8910,24534
59l,2,372,959
59l,4,985,2250
59l,8,1861,3823
59l,12,2416,5112
59l,16,2739,6151
59l,24,3454,8283
59l,32,4037,10029
59l,48,5029,13764
59l,64,5899,17134
59l,96,7284,23266
59l,128,8654,29345
59l,160,9854,34846
59l,200,11321,40714
59l,256,13184,48198
59l,384,18166,60860
59l,512,23419,70330
59l,768,34556,83598
59l,1024,44319,91682
59l,1536,44319,102298
59l,2048,44319,111218
59l,3072,44319,114226
59l,4096,44319,114226
59l,8192,44319,114226
404l,2,1944,2920
404l,4,5345,7889
404l,8,9768,14352
404l,12,12528,20180
404l,16,15586,25231
404l,24,20594,34859
404l,32,24689,44727
404l,48,32298,62410
404l,64,39150,79786
404l,96,51836,113360
404l,128,63268,144892
404l,160,74256,174314
404l,200,88043,204901
404l,256,107261,243947
404l,384,151094,318883
404l,512,195320,377883
404l,768,285953,477351
404l,1024,380699,557706
404l,1536,543860,680805
404l,2048,543860,802466
404l,3072,543860,828074
404l,4096,543860,828074
404l,8192,543860,828074
128l,2,1216,2370
128l,4,3350,5721
128l,8,6546,10578
128l,12,9513,14514
128l,16,11976,17695
128l,24,15417,23213
128l,32,18259,27949
128l,48,23005,36387
128l,64,27057,44117
128l,96,33200,58105
128l,128,38629,71094
128l,160,43276,83645
128l,200,48690,97136
128l,256,55653,114726
128l,384,69337,148296
128l,512,83159,175091
128l,768,108754,211171
128l,1024,134754,237183
128l,1536,187336,276936
128l,2048,241366,301207
128l,3072,315712,345940
128l,4096,315712,345940
128l,8192,315712,345940
sm_part24_11756,2,11442,30031
sm_part24_11756,4,27659,67555
sm_part24_11756,8,56131,113704
sm_part24_11756,12,76060,145961
sm_part24_11756,16,92430,170970
sm_part24_11756,24,118648,210494
sm_part24_11756,32,138183,240552
sm_part24_11756,48,171784,287547
sm_part24_11756,64,195456,323078
sm_part24_11756,96,233299,377325
sm_part24_11756,128,264897,418826
sm_part24_11756,160,288318,451606
sm_part24_11756,200,314034,486599
sm_part24_11756,256,342927,524958
sm_part24_11756,384,392477,590988
sm_part24_11756,512,429709,639120
sm_part24_11756,768,485182,709412
sm_part24_11756,1024,529451,760111
sm_part24_11756,1536,600462,838820
sm_part24_11756,2048,661162,899291
sm_part24_11756,3072,766490,1001011
sm_part24_11756,4096,863824,1086005
sm_part24_11756,8192,1232044,1353655
sm_part12_20753,2,11230,42766
sm_part12_20753,4,23095,94976
sm_part12_20753,8,55994,158953
sm_part12_20753,12,82079,203433
sm_part12_20753,16,104826,237354
sm_part12_20753,24,140157,290442
sm_part12_20753,32,165656,331457
sm_part12_20753,48,206795,393870
sm_part12_20753,64,239076,442242
sm_part12_20753,96,286085,515715
sm_part12_20753,128,322318,571883
sm_part12_20753,160,350256,616783
sm_part12_20753,200,382255,664958
sm_part12_20753,256,419924,721407
sm_part12_20753,384,485643,818286
sm_part12_20753,512,536774,891930
sm_part12_20753,768,614489,1002317
sm_part12_20753,1024,675250,1086413
sm_part12_20753,1536,773431,1214294
sm_part12_20753,2048,855098,1317867
sm_part12_20753,3072,989595,1479420
sm_part12_20753,4096,1103393,1611886
sm_part12_20753,8192,1507742,1996075
sm_part3_31854,2,5459,50382
sm_part3_31854,4,15235,111963
sm_part3_31854,8,55522,186413
sm_part3_31854,12,81408,237901
sm_part3_31854,16,107025,277667
sm_part3_31854,24,144579,339278
sm_part3_31854,32,175146,387040
sm_part3_31854,48,221246,459687
sm_part3_31854,64,256932,515713
sm_part3_31854,96,312803,601995
sm_part3_31854,128,357519,667304
sm_part3_31854,160,392099,720251
sm_part3_31854,200,429806,777551
sm_part3_31854,256,470699,845666
sm_part3_31854,384,542752,966323
sm_part3_31854,512,598974,1059297
sm_part3_31854,768,687325,1200760
sm_part3_31854,1024,757492,1310172
sm_part3_31854,1536,869128,1485393
sm_part3_31854,2048,962399,1626286
sm_part3_31854,3072,1118899,1856737
sm_part3_31854,4096,1253556,2053780
sm_part3_31854,8192,1705015,2627914
sm_part1_170859,2,3708,66050
sm_part1_170859,4,9028,146703
sm_part1_170859,8,58554,248245
sm_part1_170859,12,94824,317569
sm_part1_170859,16,123791,372223
sm_part1_170859,24,173139,457425
sm_part1_170859,32,212894,520543
sm_part1_170859,48,269517,622465
sm_part1_170859,64,314989,699004
sm_part1_170859,96,382745,817343
sm_part1_170859,128,434267,908001
sm_part1_170859,160,476004,983814
sm_part1_170859,200,520947,1066535
sm_part1_170859,256,573179,1163462
sm_part1_170859,384,664285,1345858
sm_part1_170859,512,737618,1491465
sm_part1_170859,768,848160,1731405
sm_part1_170859,1024,939403,1928945
sm_part1_170859,1536,1084796,2257838
sm_part1_170859,2048,1207286,2549800
sm_part1_170859,3072,1414396,3049931
sm_part1_170859,4096,1590134,3505965
sm_part1_170859,8192,2154294,5082920
